instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,l,1,0.4522,,,,,,,,,0.4522,1,0,8,8,9,1,stimuli/blank.png,selbst,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4423,,,,,,,,,0.4423,1,0,9,9,11,1,stimuli/blank.png,ich,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,0,0.4355,,,,,,,,,0.4355,0,0,10,10,12,1,stimuli/blank.png,ihr,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6106,,,,,,,,,0.6106,1,0,11,11,6,1,stimuli/blank.png,euch,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.4728,,,,,,,,,0.4728,1,0,12,12,8,1,stimuli/blank.png,eure,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6171,,,,,,,,,0.6171,1,0,13,13,3,1,stimuli/blank.png,mir,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5224,,,,,,,,,0.5224,1,0,14,14,1,1,stimuli/blank.png,ich,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5853,,,,,,,,,0.5853,1,0,15,15,10,1,stimuli/blank.png,andere,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.7375,,,,,,,,,0.7375,1,0,16,16,17,1,stimuli/blank.png,eigene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.437,,,,,,,,,0.437,1,0,17,17,5,1,stimuli/blank.png,meine,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,0,0.5391,,,,,,,,,0.5391,0,0,18,18,2,1,stimuli/blank.png,ihr,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6814,,,,,,,,,0.6814,1,0,19,19,18,1,stimuli/blank.png,eure,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
