instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,,,0,-0.474390244,-0.334146341,1,0,0,0.541,button_left,0.541,1,0,38,38,38,1,stimuli/blank.png,human,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.506097561,-0.3,1,0,0,0.565,button_left,0.565,1,0,39,39,32,1,stimuli/blank.png,fröhlich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.496341463,-0.325609756,1,0,0,1.15,button_left,1.15,1,0,0,0,18,1,stimuli/blank.png,eure,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.496341463,-0.320731707,1,0,0,0.6,button_left,0.6,1,0,1,1,10,1,stimuli/blank.png,andere,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.320731707,1,0,0,0.431,button_right,0.431,1,0,2,2,1,1,stimuli/blank.png,ich,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.492682927,-0.323170732,1,0,0,0.625,button_left,0.625,1,0,3,3,12,1,stimuli/blank.png,ihr,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.497560976,-0.320731707,1,0,0,0.704,button_left,0.704,1,0,4,4,16,1,stimuli/blank.png,euch,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.342682927,1,0,0,0.666,button_right,0.666,1,0,5,5,5,1,stimuli/blank.png,meine,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.462195122,-0.343902439,1,0,0,0.434,button_right,0.434,1,0,6,6,3,1,stimuli/blank.png,mir,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.462195122,-0.301219512,1,0,0,0.45,button_left,0.45,1,0,7,7,0,1,stimuli/blank.png,andere,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.467073171,-0.297560976,1,0,0,0.907,button_left,0.907,1,0,8,8,6,1,stimuli/blank.png,euch,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
